Sample,Predicted Label,Probability for Basic,Probability for Deluxe,Probability for King,Probability for Standard,Probability for Super Deluxe
1,King,0.01,0.08,0.64,0.27,0.0
2,Standard,0.02,0.17,0.03,0.78,0.0
3,Standard,0.02,0.17,0.03,0.78,0.0
4,Standard,0.02,0.17,0.03,0.78,0.0
5,Standard,0.02,0.17,0.03,0.78,0.0
6,Standard,0.02,0.17,0.03,0.78,0.0
7,King,0.01,0.08,0.64,0.27,0.0
8,King,0.01,0.08,0.64,0.27,0.0
9,Standard,0.02,0.17,0.03,0.78,0.0
10,King,0.01,0.08,0.64,0.27,0.0
11,Standard,0.02,0.17,0.03,0.78,0.0
12,Standard,0.02,0.17,0.03,0.78,0.0
13,King,0.01,0.08,0.64,0.27,0.0
14,Standard,0.02,0.17,0.03,0.78,0.0
15,Standard,0.02,0.17,0.03,0.78,0.0
16,Deluxe,0.09,0.69,0.02,0.2,0.0
17,Standard,0.02,0.17,0.03,0.78,0.0
18,King,0.01,0.08,0.64,0.27,0.0
19,King,0.01,0.08,0.64,0.27,0.0
20,Standard,0.02,0.17,0.03,0.78,0.0
21,King,0.01,0.08,0.64,0.27,0.0
22,King,0.01,0.08,0.64,0.27,0.0
23,King,0.01,0.08,0.64,0.27,0.0
24,King,0.01,0.08,0.64,0.27,0.0
25,Standard,0.02,0.17,0.03,0.78,0.0
26,King,0.01,0.08,0.64,0.27,0.0
27,Standard,0.02,0.17,0.03,0.78,0.0
28,Standard,0.02,0.17,0.03,0.78,0.0
29,Standard,0.02,0.17,0.03,0.78,0.0
30,Standard,0.02,0.17,0.03,0.78,0.0
31,King,0.01,0.08,0.64,0.27,0.0
32,Standard,0.02,0.17,0.03,0.78,0.0
33,Standard,0.02,0.17,0.03,0.78,0.0
34,King,0.01,0.08,0.64,0.27,0.0
35,King,0.01,0.08,0.64,0.27,0.0
36,King,0.01,0.08,0.64,0.27,0.0
37,Standard,0.02,0.17,0.03,0.78,0.0
38,King,0.01,0.08,0.64,0.27,0.0
39,Standard,0.02,0.17,0.03,0.78,0.0
40,King,0.01,0.08,0.64,0.27,0.0
41,King,0.01,0.08,0.64,0.27,0.0
42,King,0.01,0.08,0.64,0.27,0.0
43,King,0.01,0.08,0.64,0.27,0.0
44,King,0.01,0.08,0.64,0.27,0.0
45,Standard,0.02,0.17,0.03,0.78,0.0
46,King,0.01,0.08,0.64,0.27,0.0
47,King,0.01,0.08,0.64,0.27,0.0
48,King,0.01,0.08,0.64,0.27,0.0
49,King,0.01,0.08,0.64,0.27,0.0
50,King,0.01,0.08,0.64,0.27,0.0
51,King,0.01,0.08,0.64,0.27,0.0
52,King,0.01,0.08,0.64,0.27,0.0
53,Deluxe,0.09,0.69,0.02,0.2,0.0
54,King,0.01,0.08,0.64,0.27,0.0
55,King,0.01,0.08,0.64,0.27,0.0
56,Standard,0.02,0.17,0.03,0.78,0.0
57,King,0.01,0.08,0.64,0.27,0.0
58,Standard,0.02,0.17,0.03,0.78,0.0
59,Standard,0.02,0.17,0.03,0.78,0.0
60,King,0.01,0.08,0.64,0.27,0.0
61,King,0.01,0.08,0.64,0.27,0.0
62,King,0.01,0.08,0.64,0.27,0.0
63,King,0.01,0.08,0.64,0.27,0.0
64,King,0.01,0.08,0.64,0.27,0.0
65,King,0.01,0.08,0.64,0.27,0.0
66,King,0.01,0.08,0.64,0.27,0.0
67,King,0.01,0.08,0.64,0.27,0.0
68,Standard,0.02,0.17,0.03,0.78,0.0
69,King,0.01,0.08,0.64,0.27,0.0
70,King,0.01,0.08,0.64,0.27,0.0
71,King,0.01,0.08,0.64,0.27,0.0
72,King,0.01,0.08,0.64,0.27,0.0
73,Standard,0.02,0.17,0.03,0.78,0.0
74,Standard,0.02,0.17,0.03,0.78,0.0
75,King,0.01,0.08,0.64,0.27,0.0
76,Deluxe,0.09,0.69,0.02,0.2,0.0
77,King,0.01,0.08,0.64,0.27,0.0
78,King,0.01,0.08,0.64,0.27,0.0
79,King,0.01,0.08,0.64,0.27,0.0
80,King,0.01,0.08,0.64,0.27,0.0
81,King,0.01,0.08,0.64,0.27,0.0
82,King,0.01,0.08,0.64,0.27,0.0
83,King,0.01,0.08,0.64,0.27,0.0
84,Deluxe,0.09,0.69,0.02,0.2,0.0
85,King,0.01,0.08,0.64,0.27,0.0
86,Standard,0.02,0.17,0.03,0.78,0.0
