CustomerID,ProdTaken,Age,CityTier,DurationOfPitch,NumberOfPersonVisiting,NumberOfFollowups,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,MonthlyIncome,TypeofContact,Occupation,Gender,ProductPitched,MaritalStatus,Designation
200001.0,0,49.0,1.0,14.0,3.0,4.0,4.0,2.0,0.0,3.0,1.0,2.0,20130.0,0,2,2,Deluxe,0,2
200003.0,0,33.0,1.0,9.0,2.0,3.0,3.0,2.0,1.0,5.0,1.0,1.0,17909.0,0,2,1,Basic,0,1
200004.0,0,37.62226512226512,1.0,8.0,2.0,3.0,4.0,1.0,0.0,5.0,1.0,0.0,18468.0,1,3,2,Basic,0,1
200005.0,0,32.0,1.0,8.0,3.0,3.0,3.0,1.0,0.0,5.0,1.0,1.0,18068.0,0,2,2,Basic,2,1
200006.0,0,59.0,1.0,9.0,2.0,2.0,5.0,5.0,1.0,2.0,1.0,1.0,17670.0,1,3,1,Basic,0,1
200007.0,0,30.0,1.0,30.0,3.0,3.0,3.0,2.0,0.0,2.0,0.0,1.0,17693.0,1,2,2,Basic,1,1
200008.0,0,38.0,1.0,29.0,2.0,4.0,3.0,1.0,0.0,3.0,0.0,0.0,24526.0,0,2,2,Standard,3,3
200009.0,0,36.0,1.0,33.0,3.0,3.0,3.0,7.0,0.0,3.0,1.0,0.0,20237.0,1,3,2,Deluxe,0,2
200010.0,0,35.0,1.0,22.0,2.0,2.0,4.0,1.0,0.0,3.0,1.0,1.0,17426.0,1,3,2,Basic,0,1
200011.0,0,37.62226512226512,1.0,21.0,2.0,4.0,3.0,1.0,1.0,3.0,0.0,0.0,23619.85349087003,1,2,1,Deluxe,2,2
200012.0,0,31.0,1.0,32.0,2.0,3.0,3.0,2.0,0.0,3.0,0.0,1.0,17911.0,1,2,2,Basic,1,1
200013.0,0,34.0,1.0,25.0,3.0,3.0,3.0,1.0,0.0,3.0,0.0,2.0,17661.0,1,3,2,Basic,1,1
200015.0,0,29.0,1.0,27.0,2.0,2.0,5.0,2.0,0.0,5.0,1.0,1.0,24980.0,1,2,1,Standard,1,3
200016.0,0,32.0,1.0,11.0,3.0,2.0,4.0,1.0,1.0,2.0,1.0,0.0,18298.0,1,2,2,Basic,1,1
200017.0,0,22.0,1.0,22.0,3.0,2.0,3.0,2.0,1.0,3.0,0.0,0.0,17935.0,0,3,2,Basic,1,1
200018.0,0,53.0,3.0,8.0,3.0,4.0,3.0,3.0,0.0,3.0,1.0,0.0,30427.0,1,2,1,Super Deluxe,0,0
200019.0,0,37.62226512226512,1.0,8.0,2.0,3.0,3.0,6.0,1.0,4.0,0.0,1.0,23619.85349087003,1,2,2,Basic,2,1
200020.0,0,37.62226512226512,1.0,17.0,3.0,2.0,3.0,1.0,0.0,3.0,1.0,2.0,23619.85349087003,0,2,1,Deluxe,1,2
200022.0,0,34.0,1.0,13.0,2.0,3.0,4.0,1.0,0.0,3.0,1.0,0.0,26994.0,1,2,0,Standard,3,3
200023.0,0,21.0,1.0,21.0,3.0,3.0,3.0,2.0,0.0,3.0,1.0,1.0,16232.0,1,2,2,Basic,2,1
200025.0,0,53.0,1.0,11.0,2.0,3.0,3.0,5.0,0.0,5.0,0.0,1.0,34094.0,1,2,1,King,1,4
200027.0,0,42.0,3.0,14.0,2.0,3.0,4.0,1.0,0.0,3.0,0.0,1.0,21825.0,1,3,2,Deluxe,0,2
200028.0,0,44.0,1.0,13.0,2.0,4.0,3.0,4.0,0.0,4.0,1.0,0.0,25248.0,1,3,1,Standard,0,3
