CustomerID,RecommendedProduct
200001.0,Basic
200003.0,Basic
200004.0,Basic
200005.0,Basic
200006.0,Basic
200007.0,Basic
200008.0,Standard
200009.0,Basic
200010.0,Basic
200011.0,Deluxe
200012.0,Basic
200013.0,Basic
200015.0,Standard
200016.0,Basic
200017.0,Deluxe
200018.0,Basic
200019.0,Basic
200020.0,Standard
200022.0,King
200023.0,Basic
200025.0,King
200027.0,Standard
200028.0,Standard
200029.0,King
200030.0,Basic
200031.0,Standard
200032.0,Deluxe
200035.0,Basic
200037.0,Standard
200038.0,Basic
200039.0,Basic
200040.0,Deluxe
200041.0,Basic
200043.0,Deluxe
200044.0,King
200046.0,Deluxe
200047.0,Basic
200048.0,Basic
200049.0,Basic
200052.0,Deluxe
200053.0,Standard
200054.0,Standard
200055.0,Basic
200056.0,Standard
200057.0,Standard
200058.0,Standard
200059.0,Standard
200060.0,Standard
200061.0,Basic
200062.0,Deluxe
200063.0,Basic
200064.0,Standard
200065.0,Standard
200066.0,Deluxe
200067.0,Standard
200068.0,Basic
200070.0,Standard
200071.0,Basic
200072.0,Basic
200073.0,Standard
200074.0,Deluxe
200075.0,Basic
200076.0,Deluxe
200077.0,Deluxe
200078.0,Basic
200079.0,Standard
200080.0,Standard
200081.0,Basic
200082.0,Deluxe
200083.0,Basic
200084.0,Standard
200085.0,Basic
200086.0,Basic
200087.0,Basic
200088.0,Deluxe
200090.0,Deluxe
200091.0,Basic
200092.0,Basic
200093.0,Standard
200094.0,Deluxe
200095.0,Basic
200096.0,Basic
200097.0,Basic
200098.0,Basic
200099.0,Basic
200101.0,Basic
200103.0,Basic
200104.0,Basic
200105.0,King
200106.0,King
200108.0,Basic
200109.0,Standard
200110.0,Deluxe
200112.0,Deluxe
200113.0,Basic
200114.0,Deluxe
200115.0,Deluxe
200116.0,Basic
200117.0,Standard
200118.0,Basic
200119.0,Deluxe
200120.0,Basic
200121.0,Deluxe
200123.0,Super Deluxe
200125.0,Standard
200128.0,Basic
200129.0,Standard
200130.0,Basic
200131.0,Standard
200133.0,Standard
200134.0,Basic
200135.0,Basic
200137.0,Deluxe
200138.0,Standard
200139.0,Deluxe
200141.0,Basic
200142.0,Basic
200143.0,Basic
200144.0,Basic
200145.0,Basic
200146.0,Basic
200147.0,Basic
200148.0,Basic
200149.0,Basic
200150.0,Deluxe
200151.0,Standard
200152.0,Basic
200153.0,Basic
200154.0,Deluxe
200155.0,Standard
200156.0,Basic
200157.0,Basic
200158.0,Standard
200159.0,Deluxe
200160.0,Deluxe
200161.0,Basic
200162.0,Deluxe
200163.0,Standard
200164.0,Basic
200165.0,Deluxe
200166.0,Deluxe
200167.0,Standard
200168.0,Basic
200169.0,Deluxe
200170.0,Deluxe
200172.0,Basic
200173.0,Deluxe
200174.0,Basic
200175.0,Basic
200176.0,Standard
200178.0,Standard
200179.0,Basic
200180.0,Deluxe
200181.0,Basic
200183.0,Basic
200184.0,Deluxe
200185.0,Basic
200186.0,King
200187.0,Standard
200188.0,Standard
200189.0,Basic
200190.0,King
200191.0,Basic
200193.0,Deluxe
200194.0,Super Deluxe
200195.0,Basic
200196.0,Standard
200197.0,Basic
200198.0,Basic
200199.0,Basic
200200.0,Basic
200201.0,Standard
200202.0,Deluxe
200203.0,Basic
200206.0,Basic
200207.0,Basic
200208.0,Deluxe
200209.0,Deluxe
200211.0,King
200212.0,Basic
200213.0,Standard
200215.0,Basic
200218.0,Deluxe
200219.0,Basic
200220.0,Basic
200221.0,Basic
200222.0,Standard
200223.0,Standard
200224.0,Standard
200225.0,Basic
200226.0,Basic
200227.0,King
200228.0,Standard
200230.0,Basic
200231.0,Basic
200232.0,Basic
200233.0,King
200235.0,Deluxe
200237.0,King
200238.0,Basic
200240.0,Deluxe
200241.0,Standard
200242.0,Basic
200243.0,Deluxe
200244.0,Deluxe
200245.0,Basic
200246.0,Basic
200247.0,Deluxe
200248.0,Standard
200249.0,Deluxe
200251.0,King
200252.0,Standard
200253.0,Deluxe
200254.0,Standard
200255.0,Deluxe
200256.0,Standard
200257.0,King
200258.0,Standard
200260.0,Basic
200261.0,Deluxe
200262.0,Basic
200263.0,Deluxe
200265.0,Basic
200266.0,Deluxe
200267.0,Deluxe
200268.0,Deluxe
200269.0,Super Deluxe
200270.0,King
200272.0,Deluxe
200273.0,Standard
200274.0,Basic
200275.0,King
200276.0,Standard
200277.0,Deluxe
200278.0,Deluxe
200279.0,King
200280.0,Basic
200281.0,Deluxe
200282.0,Deluxe
200283.0,Basic
200284.0,Basic
200285.0,Basic
200287.0,Standard
200289.0,Basic
200290.0,Deluxe
200291.0,Deluxe
200292.0,Basic
200294.0,Basic
200295.0,Super Deluxe
200297.0,Deluxe
200298.0,Standard
200299.0,Deluxe
200300.0,Super Deluxe
200301.0,Basic
200302.0,Basic
200303.0,Deluxe
200304.0,King
200305.0,Standard
200306.0,Deluxe
200307.0,Standard
200308.0,Basic
200309.0,Basic
200310.0,Basic
200311.0,Deluxe
200312.0,Basic
200313.0,Basic
200314.0,Super Deluxe
200315.0,Basic
200316.0,King
200318.0,Basic
200319.0,Basic
200320.0,Basic
200321.0,Standard
200322.0,Basic
200324.0,Deluxe
200325.0,Standard
200326.0,King
200328.0,Standard
200329.0,King
200330.0,Standard
200331.0,Deluxe
200332.0,Basic
200333.0,Super Deluxe
200334.0,Deluxe
200335.0,Standard
200337.0,Basic
200338.0,Deluxe
200339.0,Deluxe
200340.0,Standard
200341.0,Basic
200342.0,Deluxe
200343.0,Standard
200344.0,Basic
200345.0,Deluxe
200346.0,Basic
200347.0,Deluxe
200348.0,Deluxe
200349.0,Deluxe
200350.0,Basic
200351.0,Basic
200352.0,Standard
200353.0,Deluxe
200354.0,Deluxe
200355.0,Deluxe
200356.0,Basic
200358.0,Basic
200359.0,Standard
200360.0,Basic
200361.0,Deluxe
200362.0,Basic
200364.0,Basic
200365.0,Deluxe
200367.0,Deluxe
200369.0,Basic
200371.0,Basic
200372.0,Deluxe
200373.0,Standard
200374.0,Deluxe
200375.0,Standard
200376.0,Deluxe
200377.0,Basic
200379.0,Basic
200380.0,Standard
200381.0,Basic
200383.0,Standard
200384.0,Standard
200386.0,Basic
200387.0,Standard
200388.0,Basic
200389.0,Deluxe
200390.0,Standard
200391.0,Basic
200392.0,King
200393.0,Basic
200394.0,Deluxe
200395.0,Basic
200396.0,Basic
200397.0,Deluxe
200398.0,Basic
200399.0,Basic
200400.0,Basic
200401.0,Standard
200402.0,Deluxe
200403.0,Standard
200404.0,Deluxe
200406.0,Standard
200407.0,Basic
200408.0,Basic
200409.0,Basic
200410.0,Basic
200411.0,Basic
200412.0,Standard
200413.0,Standard
200416.0,Basic
200417.0,King
200418.0,Deluxe
200419.0,Deluxe
200420.0,Standard
200423.0,Standard
200424.0,Deluxe
200425.0,Deluxe
200426.0,Deluxe
200427.0,Basic
200428.0,Deluxe
200429.0,King
200430.0,Basic
200431.0,Standard
200432.0,Basic
200433.0,Standard
200434.0,Standard
200437.0,Deluxe
200438.0,Basic
200441.0,Basic
200442.0,Deluxe
200444.0,Deluxe
200445.0,Basic
200446.0,Standard
200447.0,Deluxe
200448.0,Basic
200449.0,Deluxe
200450.0,Basic
200451.0,Deluxe
200452.0,Standard
200454.0,Basic
200455.0,Basic
200456.0,King
200458.0,Deluxe
200459.0,Deluxe
200460.0,Basic
200461.0,Deluxe
200462.0,Standard
200464.0,Deluxe
200465.0,Deluxe
200466.0,Deluxe
200467.0,Basic
200468.0,Basic
200470.0,Deluxe
200471.0,Standard
200472.0,Basic
200473.0,Standard
200474.0,Basic
200475.0,Standard
200476.0,Basic
200477.0,King
200478.0,Basic
200481.0,Deluxe
200483.0,Deluxe
200484.0,Standard
200485.0,Basic
200486.0,Basic
200487.0,Basic
200488.0,King
200489.0,Basic
200490.0,Basic
200491.0,Deluxe
200492.0,Standard
200493.0,Deluxe
200494.0,Basic
200496.0,Deluxe
200497.0,Standard
200498.0,Standard
200499.0,Basic
200500.0,Standard
200501.0,Basic
200502.0,Deluxe
200503.0,Basic
200505.0,Basic
200506.0,Standard
200507.0,Standard
200508.0,Deluxe
200509.0,Basic
200510.0,Standard
200511.0,Basic
200512.0,Basic
200515.0,Deluxe
200516.0,Basic
200517.0,Deluxe
200518.0,Basic
200519.0,Basic
200520.0,Standard
200521.0,Deluxe
200522.0,Deluxe
200523.0,Basic
200524.0,Deluxe
200526.0,Basic
200527.0,Basic
200529.0,King
200530.0,Deluxe
200531.0,Standard
200532.0,Basic
200533.0,Basic
200534.0,Standard
200535.0,King
200536.0,Basic
200537.0,Standard
200538.0,Deluxe
200539.0,Standard
200541.0,Standard
200542.0,King
200543.0,Deluxe
200544.0,Basic
200545.0,Deluxe
200546.0,Basic
200548.0,Standard
200549.0,Deluxe
200550.0,Basic
200551.0,Basic
200552.0,Standard
200553.0,Basic
200554.0,Deluxe
200555.0,Basic
200556.0,Basic
200557.0,Basic
200558.0,Deluxe
200559.0,Basic
200560.0,Deluxe
200561.0,Basic
200563.0,Standard
200564.0,Standard
200565.0,Basic
200567.0,Basic
200569.0,Deluxe
200570.0,Standard
200571.0,Basic
200572.0,Basic
200574.0,Basic
200575.0,Basic
200576.0,Standard
200577.0,Basic
200578.0,Basic
200579.0,Basic
200580.0,Deluxe
200581.0,Standard
200582.0,Standard
200583.0,Standard
200584.0,King
200586.0,Basic
200587.0,Basic
200588.0,King
200590.0,King
200592.0,Super Deluxe
200593.0,Standard
200594.0,Deluxe
200596.0,Standard
200597.0,Deluxe
200599.0,Standard
200600.0,Basic
200601.0,Basic
200602.0,Deluxe
200603.0,Basic
200604.0,Basic
200605.0,Basic
200606.0,Basic
200609.0,Super Deluxe
200610.0,Basic
200611.0,Deluxe
200612.0,Deluxe
200613.0,Basic
200615.0,Basic
200616.0,Deluxe
200617.0,Standard
200618.0,Basic
200619.0,Standard
200620.0,Basic
200621.0,Standard
200622.0,Deluxe
200623.0,Deluxe
200624.0,Standard
200625.0,Standard
200626.0,Standard
200627.0,Deluxe
200628.0,Standard
200629.0,Deluxe
200630.0,Basic
200631.0,Basic
200632.0,Deluxe
200633.0,Basic
200634.0,Basic
200635.0,Deluxe
200637.0,Basic
200638.0,Basic
200639.0,Basic
200640.0,Basic
200641.0,Super Deluxe
200642.0,Basic
200643.0,Basic
200644.0,Deluxe
200646.0,Basic
200647.0,Deluxe
200648.0,Deluxe
200649.0,Deluxe
200650.0,Basic
200651.0,Basic
200652.0,Standard
200653.0,Super Deluxe
200654.0,Standard
200655.0,Deluxe
200657.0,Deluxe
200658.0,Basic
200659.0,Deluxe
200661.0,Basic
200664.0,Deluxe
200665.0,Basic
200668.0,Deluxe
200670.0,Basic
200671.0,Deluxe
200672.0,Standard
200673.0,Basic
200674.0,Standard
200675.0,Basic
200676.0,Standard
200677.0,Deluxe
200678.0,Basic
200679.0,Standard
200680.0,Deluxe
200681.0,Deluxe
200682.0,Basic
200684.0,Deluxe
200685.0,Basic
200686.0,Basic
200687.0,Basic
200690.0,Basic
200691.0,Basic
200692.0,Basic
200694.0,Basic
200696.0,Standard
200697.0,Deluxe
200698.0,Deluxe
200699.0,King
200701.0,Basic
200702.0,Standard
200703.0,Deluxe
200704.0,Basic
200705.0,Deluxe
200707.0,Standard
200708.0,Deluxe
200710.0,Standard
200712.0,Deluxe
200713.0,Basic
200714.0,Basic
200715.0,King
200716.0,King
200717.0,Standard
200718.0,Deluxe
200719.0,Basic
200721.0,Deluxe
200722.0,Basic
200723.0,Standard
200724.0,Standard
200726.0,Standard
200727.0,Basic
200728.0,Standard
200729.0,Standard
200730.0,King
200733.0,Basic
200734.0,Basic
200735.0,Basic
200736.0,Standard
200737.0,Basic
200738.0,Deluxe
200739.0,Basic
200740.0,Deluxe
200741.0,Basic
200742.0,Basic
200743.0,Deluxe
200745.0,Deluxe
200746.0,Basic
200747.0,Deluxe
200750.0,Standard
200751.0,Deluxe
200753.0,Basic
200754.0,Basic
200755.0,Deluxe
200756.0,Deluxe
